line_item_id,order_id,product_id,quantity,unit_price_in_cents,line_status
L0000001,O000001,P0319,3,16201,cancelled
L0000002,O000001,P0443,5,11463,fulfilled
L0000003,O000002,P0149,1,26918,fulfilled
L0000004,O000002,P0252,4,2895,fulfilled
L0000005,O000002,P0120,2,13555,fulfilled
L0000006,O000002,P0135,1,5803,fulfilled
L0000007,O000003,P0089,4,504,cancelled
L0000008,O000003,P0404,3,37606,fulfilled
L0000009,O000004,P0298,4,37877,fulfilled
L0000010,O000005,P0454,2,17245,fulfilled
L0000011,O000006,P0319,3,17510,cancelled
L0000012,O000007,P0136,3,32863,fulfilled
L0000013,O000007,P0065,4,38041,fulfilled
L0000014,O000007,P0030,5,28095,fulfilled
L0000015,O000007,P0012,1,38668,fulfilled
L0000016,O000008,P0291,2,35654,cancelled
L0000017,O000009,P0096,1,27216,fulfilled
L0000018,O000009,P0019,2,28707,fulfilled
L0000019,O000009,P0303,5,36179,fulfilled
L0000020,O000009,P0435,3,26585,fulfilled
L0000021,O000010,P0143,3,28182,fulfilled
L0000022,O000011,P0001,5,18620,fulfilled
L0000023,O000012,P0319,5,18168,fulfilled
L0000024,O000013,P0479,5,25247,fulfilled
L0000025,O000013,P0089,3,517,fulfilled
L0000026,O000014,P0221,3,32208,fulfilled
L0000027,O000014,P0421,1,25738,fulfilled
L0000028,O000014,P0197,5,13133,fulfilled
L0000029,O000015,P0255,3,36770,fulfilled
L0000030,O000015,P0498,1,10987,fulfilled
L0000031,O000016,P0158,3,43029,fulfilled
L0000032,O000017,P0173,5,9833,fulfilled
L0000033,O000017,P0214,2,24440,fulfilled
L0000034,O000018,P0071,5,21826,fulfilled
L0000035,O000018,P0355,5,24107,fulfilled
L0000036,O000019,P0068,2,35364,pending
L0000037,O000020,P0489,4,10532,fulfilled
L0000038,O000020,P0121,3,46779,fulfilled
L0000039,O000020,P0311,2,41285,fulfilled
L0000040,O000021,P0062,2,35848,fulfilled
L0000041,O000021,P0457,4,7318,fulfilled
L0000042,O000022,P0250,5,4389,pending
L0000043,O000022,P0335,4,43494,pending
L0000044,O000022,P0107,2,6940,pending
L0000045,O000022,P0285,2,42874,pending
L0000046,O000023,P0322,3,34464,fulfilled
L0000047,O000024,P0173,1,10359,fulfilled
L0000048,O000024,P0177,1,37226,fulfilled
L0000049,O000025,P0164,2,13429,fulfilled
L0000050,O000025,P0088,1,1792,fulfilled
L0000051,O000025,P0284,1,10560,fulfilled
L0000052,O000026,P0461,3,16227,fulfilled
L0000053,O000027,P0165,4,32766,pending
L0000054,O000027,P0115,4,3136,fulfilled
L0000055,O000028,P0150,3,8629,fulfilled
L0000056,O000028,P0069,5,41703,fulfilled
L0000057,O000029,P0340,5,40690,pending
L0000058,O000029,P0430,4,32211,pending
L0000059,O000029,P0465,1,19879,pending
