merchant_id,merchant_name,customer_type,tier,merchant_created_at
M00001,Thompson and Sons,B2B,STD,2024-04-24T22:47:34
M00002,Bell-Conway,B2B,ENT,2024-03-17T08:48:44
M00003,Cooper Inc,MKT,STD,2023-11-28T10:49:21
M00004,Martinez-Johnson,B2C,STD,2024-08-27T20:26:20
M00005,Reid LLC,B2B,ENT,2023-12-19T18:39:08
M00006,"Mathews, Johnson and Moore",B2B,STD,2024-07-05T18:09:37
M00007,Martinez and Sons,B2C,PLT,2024-09-30T01:54:46
M00008,Jackson-Davis,B2B,STD,2024-04-21T20:54:44
M00009,Joyce-Yates,B2B,PLT,2024-09-10T10:03:30
M00010,Gardner Inc,B2B,STD,2024-10-01T18:49:03
M00011,Kennedy-Gomez,B2B,ENT,2024-01-07T06:30:22
M00012,Gonzalez-Jackson,MKT,STD,2024-05-28T11:27:41
M00013,Li Ltd,B2C,ENT,2024-09-06T21:51:23
M00014,Foster Ltd,B2B,PLT,2024-06-26T01:05:05
M00015,Pace Ltd,B2B,ENT,2024-05-03T09:04:31
M00016,Spencer PLC,B2C,ENT,2023-12-08T05:53:11
M00017,Mccormick-Lowe,B2C,STD,2024-05-04T14:54:17
M00018,Lutz-Delgado,B2B,STD,2024-09-12T19:25:38
M00019,Jackson PLC,MKT,STD,2024-04-03T20:50:44
M00020,"Young, Byrd and Mejia",MKT,STD,2024-10-31T02:34:46
M00021,Ford Group,MKT,STD,2024-06-04T07:41:48
M00022,Gonzales-Carr,B2B,PLT,2024-04-12T22:00:08
M00023,Ward-Atkinson,B2C,PLT,2024-05-04T18:05:28
M00024,Hart-Reyes,B2C,PLT,2024-02-01T10:52:56
M00025,Hogan-Ray,B2B,STD,2024-10-04T21:56:10
M00026,Gibbs Ltd,MKT,PLT,2024-02-01T18:10:38
M00027,Foster Ltd,MKT,ENT,2023-11-07T21:12:06
M00028,Stone PLC,B2C,ENT,2024-04-26T15:35:44
M00029,Carr-Olsen,B2C,PLT,2024-06-26T12:20:37
M00030,Miller LLC,B2C,ENT,2024-03-21T07:32:51
M00031,Johnson-Fischer,B2B,ENT,2024-06-07T17:02:08
M00032,"Mccall, Mcdonald and Young",B2C,PLT,2024-04-08T09:29:26
M00033,Richard Inc,B2B,PLT,2024-04-19T23:56:22
M00034,"Smith, Wheeler and Neal",B2B,ENT,2024-07-28T11:37:37
M00035,Austin-Haley,B2B,ENT,2024-09-06T18:47:36
M00036,Fuller LLC,MKT,STD,2024-05-21T09:31:21
M00037,"Cohen, Ramos and York",MKT,ENT,2024-06-26T11:46:01
M00038,Sanchez LLC,MKT,STD,2023-12-02T09:32:06
M00039,Schmitt PLC,MKT,ENT,2024-03-07T14:16:10
M00040,"Taylor, Flores and Lee",B2B,PLT,2024-07-02T08:38:29
M00041,Bailey Inc,B2C,PLT,2024-02-01T10:24:51
M00042,Dennis-White,MKT,STD,2024-09-24T20:18:23
M00043,Parks Inc,B2B,STD,2024-06-01T09:42:39
M00044,"Hawkins, Rogers and Allen",B2B,PLT,2024-06-21T03:56:10
M00045,"Morales, Wright and Smith",MKT,ENT,2024-06-27T05:07:55
M00046,"Ruiz, Patton and King",B2C,STD,2024-07-03T04:11:29
M00047,Solis PLC,B2B,ENT,2024-06-08T19:52:21
M00048,"Woods, Phillips and Sullivan",MKT,ENT,2024-03-29T18:24:03
M00049,Duke-Mayer,B2B,STD,2024-03-01T02:21:05
M00050,Long-Lee,B2B,PLT,2024-10-10T16:24:44
M00051,"Lewis, Wheeler and Villanueva",MKT,STD,2024-02-15T21:44:04
M00052,"Novak, Green and Adams",B2C,STD,2023-11-12T17:07:01
M00053,Brown-Hickman,B2B,ENT,2024-01-05T19:06:07
M00054,Carter Group,B2B,ENT,2024-08-12T04:49:23
M00055,Richards-Michael,B2B,STD,2023-11-27T14:04:41
M00056,Mcclain Ltd,B2B,PLT,2024-08-01T23:39:25
M00057,Villa Inc,B2B,PLT,2024-06-05T01:40:37
M00058,Floyd-Pham,B2B,ENT,2023-12-31T03:28:51
M00059,"Sanchez, Parker and Lopez",B2B,ENT,2024-10-28T12:28:16
M00060,"Allen, Boyle and Brown",MKT,ENT,2023-12-12T16:14:29
M00061,Nguyen-Elliott,B2B,ENT,2023-11-09T07:39:04
M00062,"Tanner, Chapman and Barajas",MKT,ENT,2024-10-10T10:10:28
M00063,Pierce PLC,B2C,STD,2024-09-08T07:54:59
M00064,Walker Inc,MKT,PLT,2024-05-25T09:17:49
M00065,"Smith, Robinson and Shaw",B2C,PLT,2024-02-25T03:32:24
M00066,"Fleming, Ruiz and Shaw",MKT,ENT,2024-02-24T07:11:20
M00067,"Crawford, Taylor and Fuller",B2C,STD,2024-10-30T14:08:21
M00068,Stone-Johnson,MKT,ENT,2024-04-03T01:41:17
M00069,"Reed, Hill and Horn",MKT,STD,2024-07-11T04:41:32
M00070,Proctor LLC,MKT,STD,2024-07-24T04:04:36
M00071,Cooper-Greene,MKT,ENT,2024-06-03T00:27:04
M00072,Adkins-Logan,B2C,ENT,2024-08-10T12:47:06
M00073,Jones Ltd,B2C,PLT,2024-04-30T09:28:03
M00074,Cooper-Rogers,B2B,STD,2024-10-27T19:51:35
M00075,Wallace-White,B2B,STD,2024-02-23T04:06:29
M00076,"Olson, Lang and Best",MKT,ENT,2024-04-04T19:18:10
M00077,Maynard-Schmitt,MKT,PLT,2024-10-29T21:07:24
M00078,Gilbert Inc,B2B,ENT,2024-09-28T09:52:09
M00079,Allen Inc,MKT,STD,2024-10-29T19:36:17
M00080,"Weaver, Obrien and Spears",B2C,STD,2024-04-27T09:57:12
M00081,"Patton, Sims and Diaz",B2B,PLT,2024-02-04T10:56:42
M00082,Roberts-Ali,B2B,ENT,2024-05-28T09:36:11
M00083,"Holt, Le and Underwood",B2B,PLT,2024-07-21T00:28:29
M00084,Doyle and Sons,B2B,STD,2024-10-30T12:04:10
M00085,Cole-Parsons,B2C,STD,2024-01-10T21:15:36
M00086,Schmidt LLC,B2C,ENT,2024-02-25T11:09:10
M00087,Young PLC,MKT,PLT,2024-05-23T11:58:07
M00088,Martinez-Espinoza,MKT,PLT,2024-09-03T10:11:52
M00089,Harris-Lewis,B2C,STD,2024-06-02T16:33:55
M00090,Smith LLC,MKT,STD,2024-01-27T23:35:30
M00091,"Daniel, Harrison and Hernandez",MKT,STD,2024-06-12T04:20:13
M00092,Hendricks and Sons,B2B,PLT,2024-01-25T22:12:19
M00093,Coleman PLC,MKT,PLT,2024-07-08T20:38:26
M00094,Sutton Ltd,MKT,STD,2024-05-02T19:38:14
M00095,Hodges Inc,B2B,PLT,2024-10-16T07:00:42
M00096,"Hooper, Wilson and Joseph",MKT,ENT,2024-08-26T21:18:58
M00097,Rojas and Sons,B2B,PLT,2024-02-29T21:26:05
M00098,Wolf Inc,B2C,PLT,2023-12-13T10:11:55
M00099,Neal Inc,B2B,STD,2024-05-19T03:36:17
M00100,"Hicks, Flynn and Campbell",B2C,STD,2024-02-16T09:20:03
M00101,Nelson PLC,B2C,STD,2024-01-13T03:57:58
M00102,"Lawrence, Gonzalez and Craig",B2C,ENT,2024-09-18T19:08:25
M00103,"Owens, Ford and Barnett",B2C,ENT,2024-05-25T17:14:19
M00104,"Zavala, Ho and Schmitt",MKT,ENT,2024-08-18T12:32:50
M00105,Matthews-Flynn,B2B,ENT,2024-10-14T19:16:51
M00106,"Griffin, Abbott and Cherry",B2B,STD,2024-07-15T15:07:12
M00107,"Griffin, Kent and Marshall",MKT,ENT,2024-03-14T15:50:49
M00108,"Graham, Short and Ray",MKT,ENT,2024-01-02T13:48:33
M00109,Vasquez Ltd,B2C,ENT,2024-01-11T15:16:32
M00110,"Harmon, Rice and Clark",MKT,PLT,2024-05-07T06:55:47
M00111,"Monroe, Barton and Weiss",B2B,STD,2024-02-24T10:16:44
M00112,Combs Ltd,B2C,STD,2024-06-28T02:09:48
M00113,"Morris, Roberts and Martinez",MKT,STD,2023-12-15T23:28:25
M00114,Cochran-Freeman,B2B,STD,2023-11-25T03:11:14
M00115,Mendoza-Perez,MKT,PLT,2024-09-23T20:05:30
M00116,Cobb Ltd,MKT,PLT,2024-10-28T01:31:02
M00117,Mcneil-Marquez,MKT,PLT,2024-07-02T04:25:19
M00118,"Nguyen, Leonard and Hernandez",MKT,ENT,2024-10-16T22:21:28
M00119,"Wilson, Rodriguez and Sosa",B2C,ENT,2024-03-29T05:19:14
M00120,"Baird, Flores and Ramirez",B2B,PLT,2024-07-27T16:34:24
M00121,York-Walker,B2C,PLT,2024-04-10T08:59:50
M00122,Stevens Inc,B2C,STD,2024-08-14T01:47:38
M00123,James-Stephens,B2B,STD,2024-03-05T12:11:56
M00124,Johnson-Williams,B2C,ENT,2023-12-21T09:15:30
M00125,Reynolds-Morris,MKT,ENT,2024-01-03T13:06:50
M00126,Ward Group,B2B,PLT,2024-04-07T19:00:39
M00127,Henderson-Vance,B2B,PLT,2024-08-28T06:03:37
M00128,Allen-Allen,B2C,STD,2024-10-10T20:17:16
M00129,Vance Group,B2B,STD,2024-01-11T12:55:54
M00130,"Stewart, Daniels and Barnes",B2B,STD,2024-02-08T12:12:51
M00131,Williams and Sons,MKT,PLT,2024-08-12T20:22:23
M00132,Acevedo-Mcgrath,B2C,STD,2024-02-20T07:04:01
M00133,Sanchez PLC,B2B,PLT,2024-01-04T23:30:22
M00134,Montoya-Frederick,B2B,ENT,2023-11-03T07:00:57
M00135,Pollard-Knight,MKT,STD,2024-07-24T17:47:04
M00136,Jordan-Kramer,B2C,PLT,2023-11-18T13:54:46
M00137,Blake-Graham,B2B,PLT,2024-04-19T22:17:43
M00138,"Shaw, Bruce and Garza",B2B,STD,2024-08-04T13:28:23
M00139,Sandoval and Sons,B2B,STD,2024-08-14T12:52:32
M00140,Torres Ltd,B2B,STD,2023-12-27T23:18:25
M00141,"Acosta, Green and Shah",MKT,STD,2024-01-02T02:47:27
M00142,"Weaver, Hooper and Kramer",MKT,ENT,2023-11-23T00:22:59
M00143,"White, Lopez and Smith",MKT,PLT,2024-04-17T16:50:23
M00144,"Chavez, Bennett and Higgins",B2B,ENT,2024-05-19T07:03:33
M00145,Becker-Miller,B2B,ENT,2023-12-15T13:12:13
M00146,Mckee-Campbell,MKT,PLT,2024-06-18T00:46:28
M00147,Terry-Rodriguez,B2B,STD,2024-07-20T17:22:46
M00148,Kane-Brown,MKT,PLT,2024-05-01T01:46:19
M00149,Harper and Sons,B2C,ENT,2024-05-15T09:13:44
M00150,Silva-Joseph,MKT,PLT,2024-07-18T16:44:34
M00151,Pacheco-Alvarez,MKT,ENT,2023-11-21T12:31:27
M00152,"Stewart, Holmes and Ortega",B2C,PLT,2024-01-02T12:26:36
M00153,Gonzalez and Sons,MKT,ENT,2024-03-21T20:58:50
M00154,Bautista Group,MKT,ENT,2024-09-04T00:07:56
M00155,Bender-Wright,MKT,ENT,2024-05-30T06:35:27
M00156,"Gardner, Thornton and Flores",B2C,ENT,2023-11-06T12:43:54
M00157,Gonzalez LLC,MKT,ENT,2024-03-24T12:15:41
M00158,Allen-Romero,MKT,PLT,2023-12-30T15:43:24
M00159,Cherry Group,B2B,ENT,2024-07-24T21:15:19
M00160,"Gonzalez, Marks and Le",MKT,PLT,2024-05-25T08:11:13
M00161,Erickson-Harding,B2C,STD,2024-06-30T06:53:02
M00162,"Collins, Weber and Conway",MKT,PLT,2024-09-15T07:31:44
M00163,Palmer PLC,MKT,STD,2024-09-22T21:43:23
M00164,Griffith Inc,MKT,PLT,2024-03-05T17:29:56
M00165,Ramos-White,B2B,ENT,2023-12-06T18:43:09
M00166,Tran-Jackson,B2B,STD,2024-03-05T04:21:27
M00167,"Brown, Martinez and Parker",B2C,STD,2024-04-25T18:06:40
M00168,"Newman, Cruz and Carter",B2C,STD,2024-06-15T15:06:39
M00169,Johnson Inc,B2B,STD,2024-08-04T04:20:00
M00170,Gonzalez-Powell,B2C,STD,2024-08-04T21:53:35
M00171,"Higgins, Reyes and Rice",MKT,ENT,2024-06-22T14:56:00
M00172,Allen and Sons,MKT,STD,2023-12-29T23:09:34
M00173,"Harrell, Ali and Martin",MKT,STD,2023-12-13T00:57:01
M00174,Wilson-Brown,B2B,PLT,2024-05-21T08:18:41
M00175,Chavez-Santiago,MKT,ENT,2024-09-15T23:47:42
M00176,Graves-Smith,B2C,STD,2024-05-13T04:58:45
M00177,"Mckenzie, Mason and Love",B2B,STD,2023-12-10T03:08:55
M00178,Castro-Carter,B2B,ENT,2024-07-13T17:41:41
M00179,Guzman-Olson,B2B,ENT,2024-03-28T18:24:54
M00180,"Todd, Taylor and George",B2C,PLT,2024-05-29T22:17:22
M00181,Brown-Jimenez,B2C,STD,2024-06-08T13:41:31
M00182,"Lindsey, Johnson and Cook",B2B,PLT,2024-09-23T18:35:45
M00183,Morgan Group,B2C,ENT,2024-08-06T23:19:41
M00184,Perez-Mcguire,B2C,ENT,2024-01-03T14:34:49
M00185,Glass-Smith,B2C,ENT,2024-04-08T16:56:25
M00186,Lewis-Mendez,B2C,PLT,2024-10-13T01:59:21
M00187,Brown LLC,B2C,STD,2024-06-05T13:36:25
M00188,Macdonald-Oneill,B2B,STD,2023-12-07T13:06:40
M00189,"Austin, Snow and Wu",B2B,ENT,2024-08-01T14:33:50
M00190,Thomas-Patterson,B2C,PLT,2023-12-07T04:01:40
M00191,"Johnson, Dawson and Casey",B2C,PLT,2024-02-01T13:09:28
M00192,Sanders-Davis,B2B,PLT,2023-12-28T23:20:41
M00193,"Strickland, Lozano and Murray",B2C,STD,2023-11-20T02:17:41
M00194,Roberson and Sons,B2B,STD,2023-12-30T07:13:28
M00195,Ward Group,MKT,ENT,2024-09-14T06:59:14
M00196,Williams-Luna,B2C,STD,2024-10-25T18:23:02
M00197,"Trevino, Diaz and Shah",B2C,STD,2024-06-08T21:33:07
M00198,"Palmer, Wong and Bell",B2C,ENT,2024-04-16T17:37:38
