order_id,merchant_id,customer_id,order_status,is_test,ordered_at,paid_at
O000001,M02051,C001630,shipped,,2025-02-01T04:17:28,2025-02-01T05:48:28
O000002,M00016,C004223,partially_cancelled,,2025-09-02T04:00:12,2025-09-02T04:27:12
O000003,M03847,C009418,shipped,,2025-01-11T00:16:51,2025-01-11T00:46:51
O000004,M02970,C002399,partially_cancelled,,2024-12-03T23:58:03,2024-12-04T01:30:03
O000005,M02952,C018124,partially_shipped,,2025-04-05T18:45:29,2025-04-05T19:06:29
O000006,M01256,C019754,shipped,,2025-01-16T10:54:57,2025-01-16T11:52:57
O000007,M01195,C012435,partially_cancelled,false,2025-08-14T10:42:44,2025-08-14T12:20:44
O000008,M03566,C015557,shipped,,2026-03-03T23:41:01,2026-03-03T23:45:01
O000009,M00784,C005554,shipped,,2024-11-08T03:20:15,2024-11-08T04:01:15
O000010,M03668,C007623,shipped,,2026-04-09T16:39:07,2026-04-09T17:32:07
O000011,M03959,C006606,shipped,,2026-02-03T22:19:21,2026-02-03T23:49:21
O000012,M01963,C007555,shipped,,2026-03-10T12:28:28,2026-03-10T13:18:28
O000013,M03543,C005818,shipped,,2025-12-01T22:34:17,2025-12-02T00:25:17
O000014,M04669,C007620,shipped,,2026-02-19T20:43:28,2026-02-19T22:31:28
O000015,M00001,C010777,shipped,,2025-12-11T12:44:06,2025-12-11T13:54:06
O000016,M03675,C000682,shipped,,2026-01-23T00:34:48,2026-01-23T02:08:48
O000017,M03992,C015667,shipped,,2026-01-28T06:46:20,2026-01-28T08:25:20
O000018,M03573,C005639,shipped,,2024-12-31T11:17:42,2024-12-31T13:09:42
O000019,M03782,C000755,partially_shipped,,2025-12-08T05:19:01,2025-12-08T06:32:01
O000020,M04148,C007046,shipped,,2025-03-18T15:58:12,2025-03-18T17:22:12
O000021,M00615,C000361,shipped,,2025-08-21T07:47:27,2025-08-21T08:53:27
O000022,M03242,C010573,pending,,2025-11-21T16:16:25,2025-11-21T16:23:25
O000023,M01908,C008592,shipped,true,2024-12-19T14:49:45,2024-12-19T15:53:45
O000024,M00873,C002024,shipped,,2025-05-09T13:36:35,2025-05-09T15:22:35
O000025,M02988,C009982,shipped,,2026-01-10T01:45:34,2026-01-10T02:39:34
