shipment_line_item_id,shipment_id,line_item_id,quantity_shipped
SL00000001,S0000001,L0000001,3
SL00000002,S0000001,L0000002,5
SL00000003,S0000002,L0000003,1
SL00000004,S0000002,L0000004,4
SL00000005,S0000002,L0000005,2
SL00000006,S0000002,L0000006,1
SL00000007,S0000003,L0000007,4
SL00000008,S0000003,L0000008,3
SL00000009,S0000004,L0000009,4
SL00000010,S0000005,L0000010,2
SL00000011,S0000006,L0000011,3
SL00000012,S0000007,L0000012,3
SL00000013,S0000007,L0000013,4
SL00000014,S0000007,L0000014,5
SL00000015,S0000007,L0000015,1
SL00000016,S0000008,L0000016,2
SL00000017,S0000010,L0000017,1
SL00000018,S0000009,L0000018,1
SL00000019,S0000010,L0000018,1
SL00000020,S0000009,L0000019,4
SL00000021,S0000010,L0000019,1
SL00000022,S0000009,L0000020,2
SL00000023,S0000010,L0000020,1
SL00000024,S0000011,L0000021,3
SL00000025,S0000014,L0000022,5
SL00000026,S0000015,L0000023,5
SL00000027,S0000016,L0000024,5
SL00000028,S0000016,L0000025,3
SL00000029,S0000017,L0000026,3
SL00000030,S0000017,L0000027,1
SL00000031,S0000017,L0000028,1
SL00000032,S0000018,L0000028,2
SL00000033,S0000019,L0000028,2
SL00000034,S0000020,L0000029,3
SL00000035,S0000020,L0000030,1
SL00000036,S0000021,L0000031,3
SL00000037,S0000022,L0000032,5
SL00000038,S0000022,L0000033,2
SL00000039,S0000023,L0000034,5
SL00000040,S0000023,L0000035,5
SL00000041,S0000025,L0000037,4
SL00000042,S0000025,L0000038,3
SL00000043,S0000025,L0000039,2
SL00000044,S0000026,L0000040,2
SL00000045,S0000026,L0000041,4
SL00000046,S0000027,L0000046,3
SL00000047,S0000028,L0000047,1
SL00000048,S0000028,L0000048,1
SL00000049,S0000029,L0000049,2
SL00000050,S0000029,L0000050,1
SL00000051,S0000029,L0000051,1
SL00000052,S0000030,L0000052,3
SL00000053,S0000031,L0000054,4
SL00000054,S0000032,L0000055,3
SL00000055,S0000032,L0000056,5
SL00000056,S0000033,L0000060,5
SL00000057,S0000035,L0000061,2
SL00000058,S0000036,L0000062,1
SL00000059,S0000036,L0000063,1
SL00000060,S0000036,L0000064,2
SL00000061,S0000037,L0000065,2
SL00000062,S0000038,L0000066,1
SL00000063,S0000038,L0000067,1
SL00000064,S0000039,L0000068,3
SL00000065,S0000039,L0000069,4
SL00000066,S0000040,L0000070,4
SL00000067,S0000040,L0000071,5
SL00000068,S0000040,L0000072,1
SL00000069,S0000041,L0000073,2
SL00000070,S0000042,L0000074,2
SL00000071,S0000042,L0000075,1
SL00000072,S0000042,L0000076,3
SL00000073,S0000043,L0000077,5
SL00000074,S0000044,L0000078,2
SL00000075,S0000045,L0000079,4
SL00000076,S0000045,L0000080,3
SL00000077,S0000046,L0000081,2
SL00000078,S0000047,L0000082,4
SL00000079,S0000048,L0000084,4
SL00000080,S0000049,L0000085,1
SL00000081,S0000049,L0000086,5
SL00000082,S0000050,L0000087,4
SL00000083,S0000050,L0000088,3
SL00000084,S0000051,L0000089,5
SL00000085,S0000051,L0000090,2
SL00000086,S0000052,L0000091,5
SL00000087,S0000053,L0000094,5
SL00000088,S0000053,L0000095,2
SL00000089,S0000054,L0000096,5
SL00000090,S0000054,L0000097,1
SL00000091,S0000055,L0000098,2
SL00000092,S0000055,L0000099,4
SL00000093,S0000055,L0000100,5
SL00000094,S0000058,L0000101,2
SL00000095,S0000056,L0000102,1
SL00000096,S0000057,L0000102,1
SL00000097,S0000059,L0000103,1
SL00000098,S0000060,L0000103,3
SL00000099,S0000060,L0000104,3
SL00000100,S0000061,L0000105,2
SL00000101,S0000061,L0000106,1
SL00000102,S0000062,L0000107,4
SL00000103,S0000062,L0000108,3
SL00000104,S0000062,L0000109,5
SL00000105,S0000063,L0000110,4
SL00000106,S0000064,L0000111,2
SL00000107,S0000064,L0000112,4
SL00000108,S0000064,L0000113,2
SL00000109,S0000064,L0000114,5
SL00000110,S0000065,L0000115,3
SL00000111,S0000065,L0000116,3
SL00000112,S0000066,L0000117,3
SL00000113,S0000066,L0000118,4
SL00000114,S0000066,L0000119,3
SL00000115,S0000067,L0000120,1
SL00000116,S0000069,L0000121,1
SL00000117,S0000070,L0000122,4
SL00000118,S0000072,L0000123,2
SL00000119,S0000074,L0000124,1
SL00000120,S0000075,L0000125,4
SL00000121,S0000076,L0000128,4
SL00000122,S0000076,L0000129,2
SL00000123,S0000077,L0000130,1
SL00000124,S0000077,L0000131,5
SL00000125,S0000077,L0000132,2
SL00000126,S0000078,L0000133,3
SL00000127,S0000078,L0000134,3
SL00000128,S0000078,L0000135,5
SL00000129,S0000080,L0000136,3
SL00000130,S0000079,L0000137,4
SL00000131,S0000079,L0000138,2
SL00000132,S0000080,L0000138,3
SL00000133,S0000081,L0000139,1
SL00000134,S0000081,L0000140,3
SL00000135,S0000081,L0000141,4
SL00000136,S0000082,L0000142,4
SL00000137,S0000082,L0000143,5
SL00000138,S0000082,L0000144,5
SL00000139,S0000082,L0000145,1
SL00000140,S0000083,L0000146,3
SL00000141,S0000083,L0000147,2
SL00000142,S0000084,L0000148,2
SL00000143,S0000084,L0000149,5
SL00000144,S0000085,L0000150,5
SL00000145,S0000085,L0000151,3
SL00000146,S0000086,L0000152,2
SL00000147,S0000087,L0000153,1
SL00000148,S0000088,L0000153,1
SL00000149,S0000089,L0000154,1
SL00000150,S0000090,L0000155,4
SL00000151,S0000091,L0000156,4
SL00000152,S0000092,L0000157,3
SL00000153,S0000093,L0000159,3
SL00000154,S0000093,L0000160,1
SL00000155,S0000093,L0000161,4
SL00000156,S0000093,L0000162,1
SL00000157,S0000094,L0000163,2
SL00000158,S0000094,L0000164,3
SL00000159,S0000095,L0000165,4
SL00000160,S0000095,L0000166,3
SL00000161,S0000096,L0000167,3
SL00000162,S0000097,L0000168,2
SL00000163,S0000098,L0000169,5
SL00000164,S0000098,L0000170,3
SL00000165,S0000100,L0000172,3
SL00000166,S0000101,L0000173,4
SL00000167,S0000102,L0000174,1
SL00000168,S0000103,L0000176,2
SL00000169,S0000104,L0000177,5
SL00000170,S0000105,L0000178,4
SL00000171,S0000105,L0000179,4
SL00000172,S0000106,L0000180,4
