shipment_id,order_id,shipped_at
S0000001,O000001,2025-02-15T04:17:28
S0000002,O000002,2025-09-09T04:00:12
S0000003,O000003,2025-01-21T00:16:51
S0000004,O000004,2024-12-05T23:58:03
S0000005,O000005,2025-04-09T18:45:29
S0000006,O000006,2025-01-28T10:54:57
S0000007,O000007,2025-08-17T10:42:44
S0000008,O000008,2026-03-17T23:41:01
S0000009,O000009,2024-11-09T03:20:15
S0000010,O000009,2024-12-17T03:20:15
S0000011,O000010,2026-04-23T16:39:07
S0000012,O000010,2026-05-01T00:00:00
S0000013,O000010,2026-05-01T00:00:00
S0000014,O000011,2026-02-14T22:19:21
S0000015,O000012,2026-03-22T12:28:28
S0000016,O000013,2025-12-12T22:34:17
S0000017,O000014,2026-02-28T20:43:28
S0000018,O000014,2026-04-11T20:43:28
S0000019,O000014,2026-03-19T20:43:28
S0000020,O000015,2025-12-19T12:44:06
S0000021,O000016,2026-02-04T00:34:48
S0000022,O000017,2026-01-31T06:46:20
S0000023,O000018,2025-01-06T11:17:42
S0000024,O000019,2025-12-18T05:19:01
S0000025,O000020,2025-04-01T15:58:12
S0000026,O000021,2025-08-22T07:47:27
S0000027,O000023,2024-12-26T14:49:45
S0000028,O000024,2025-05-11T13:36:35
S0000029,O000025,2026-01-22T01:45:34
S0000030,O000026,2025-06-22T03:37:14
S0000031,O000027,2025-09-11T15:20:23
S0000032,O000028,2025-06-23T16:47:12
S0000033,O000030,2025-01-09T08:44:11
S0000034,O000031,2025-03-30T02:30:43
S0000035,O000031,2025-04-22T02:30:43
S0000036,O000032,2026-01-09T19:23:25
S0000037,O000033,2025-09-17T22:44:43
S0000038,O000034,2026-02-24T02:06:53
S0000039,O000035,2025-02-27T05:43:11
S0000040,O000036,2025-05-21T19:59:46
S0000041,O000037,2025-11-05T21:13:51
S0000042,O000038,2026-03-14T23:49:53
S0000043,O000039,2025-10-11T22:29:58
S0000044,O000040,2026-03-22T00:19:17
S0000045,O000041,2025-06-05T03:05:26
S0000046,O000042,2026-01-30T09:16:37
S0000047,O000043,2024-12-26T07:23:02
S0000048,O000044,2026-04-24T21:16:34
S0000049,O000045,2025-10-19T00:07:53
S0000050,O000046,2025-05-06T06:58:31
S0000051,O000047,2025-06-07T12:04:17
S0000052,O000048,2025-05-15T13:46:42
S0000053,O000050,2025-09-05T02:59:23
S0000054,O000051,2025-06-05T16:47:30
S0000055,O000052,2025-02-17T17:00:19
S0000056,O000053,2025-07-28T15:48:30
S0000057,O000053,2025-08-26T15:48:30
S0000058,O000053,2025-08-25T15:48:30
S0000059,O000054,2025-03-14T10:07:16
S0000060,O000054,2025-04-17T10:07:16
S0000061,O000055,2025-07-17T06:10:16
S0000062,O000056,2024-12-26T11:48:45
S0000063,O000057,2025-07-23T02:39:13
S0000064,O000058,2025-03-31T02:52:38
S0000065,O000059,2025-02-09T04:45:25
S0000066,O000060,2025-02-27T23:51:00
S0000067,O000061,2025-03-19T02:48:14
S0000068,O000061,2025-05-12T02:48:14
S0000069,O000062,2025-04-13T18:26:07
S0000070,O000063,2024-12-15T19:35:33
S0000071,O000064,2025-11-23T15:34:34
S0000072,O000064,2025-12-18T15:34:34
S0000073,O000064,2026-01-20T15:34:34
S0000074,O000065,2024-12-23T18:24:02
S0000075,O000066,2025-06-23T08:11:13
S0000076,O000068,2025-05-26T11:03:19
S0000077,O000069,2026-03-22T02:32:10
S0000078,O000070,2025-09-21T20:19:12
S0000079,O000071,2025-08-03T07:13:32
S0000080,O000071,2025-09-23T07:13:32
S0000081,O000072,2025-07-28T10:23:22
S0000082,O000073,2025-08-13T21:40:43
S0000083,O000074,2025-02-02T00:07:30
S0000084,O000075,2025-12-18T18:16:33
S0000085,O000076,2026-04-01T10:37:52
S0000086,O000077,2025-10-25T18:00:48
S0000087,O000077,2025-12-12T18:00:48
S0000088,O000077,2025-12-23T18:00:48
S0000089,O000078,2026-04-08T04:13:35
S0000090,O000079,2025-08-07T02:51:52
S0000091,O000080,2026-04-26T21:33:43
S0000092,O000081,2026-03-24T03:21:41
S0000093,O000083,2025-08-26T11:24:37
S0000094,O000084,2025-09-13T19:14:10
S0000095,O000085,2025-07-28T23:44:18
S0000096,O000086,2026-01-27T16:43:13
S0000097,O000087,2025-10-04T17:11:03
S0000098,O000088,2026-01-21T20:17:41
S0000099,O000089,2025-11-29T10:54:05
S0000100,O000090,2025-02-24T07:15:10
S0000101,O000091,2025-02-10T11:18:25
S0000102,O000092,2025-01-16T19:04:06
S0000103,O000094,2025-10-27T09:16:12
S0000104,O000095,2026-01-06T09:22:16
S0000105,O000096,2025-10-11T23:43:21
S0000106,O000097,2026-01-04T07:10:43
S0000107,O000098,2025-08-28T00:06:33
S0000108,O000099,2025-08-07T17:44:26
S0000109,O000100,2025-03-19T03:24:27
S0000110,O000101,2025-10-08T02:12:30
S0000111,O000103,2025-03-30T14:06:25
S0000112,O000104,2024-12-04T09:15:06
S0000113,O000105,2025-07-17T16:00:19
S0000114,O000106,2026-01-27T16:54:12
S0000115,O000107,2025-02-28T21:51:37
S0000116,O000108,2026-02-27T16:31:50
S0000117,O000110,2024-12-12T11:57:11
S0000118,O000111,2025-03-12T13:13:30
S0000119,O000112,2026-04-16T01:29:02
S0000120,O000113,2025-08-16T03:12:24
S0000121,O000113,2025-09-10T03:12:24
S0000122,O000113,2025-09-15T03:12:24
S0000123,O000114,2026-02-22T16:44:12
S0000124,O000115,2026-01-03T21:21:14
S0000125,O000116,2025-12-14T06:48:32
S0000126,O000116,2026-01-28T06:48:32
S0000127,O000116,2026-01-31T06:48:32
S0000128,O000117,2025-12-14T04:35:32
S0000129,O000117,2026-02-07T04:35:32
S0000130,O000117,2026-01-18T04:35:32
S0000131,O000118,2025-06-24T11:34:49
S0000132,O000120,2024-11-22T14:34:38
S0000133,O000121,2025-03-09T20:54:48
S0000134,O000122,2025-01-18T08:10:23
S0000135,O000122,2025-03-14T08:10:23
S0000136,O000122,2025-02-17T08:10:23
S0000137,O000123,2025-04-08T16:39:42
S0000138,O000124,2025-01-24T02:34:24
S0000139,O000125,2025-01-12T21:08:07
S0000140,O000126,2026-03-29T17:32:37
S0000141,O000127,2026-04-01T03:42:00
S0000142,O000128,2025-03-17T21:42:34
S0000143,O000129,2024-11-25T11:46:46
S0000144,O000130,2026-03-31T15:18:03
S0000145,O000131,2026-03-09T11:19:14
S0000146,O000131,2026-04-22T11:19:14
S0000147,O000132,2026-03-04T01:55:02
S0000148,O000133,2025-05-30T05:42:50
S0000149,O000133,2025-07-18T05:42:50
S0000150,O000133,2025-07-01T05:42:50
S0000151,O000134,2025-09-14T15:19:57
S0000152,O000135,2025-12-18T09:23:40
S0000153,O000136,2025-04-29T20:19:06
S0000154,O000137,2025-03-31T08:46:40
S0000155,O000138,2025-05-08T23:00:21
S0000156,O000139,2025-03-19T09:43:35
S0000157,O000140,2025-02-06T14:10:39
S0000158,O000141,2025-01-19T22:49:51
S0000159,O000142,2024-12-06T05:16:41
S0000160,O000143,2025-09-06T09:25:50
S0000161,O000145,2025-12-30T00:20:07
S0000162,O000146,2025-01-25T01:46:42
S0000163,O000147,2025-08-28T03:26:35
S0000164,O000148,2025-07-03T18:16:01
S0000165,O000148,2025-08-13T18:16:01
S0000166,O000149,2026-01-03T18:15:18
S0000167,O000150,2026-03-22T02:57:40
S0000168,O000152,2026-01-26T12:22:16
S0000169,O000153,2025-02-10T11:58:59
S0000170,O000154,2025-04-01T00:49:57
S0000171,O000155,2025-05-04T07:33:19
S0000172,O000156,2026-01-11T15:55:04
S0000173,O000157,2026-04-11T07:15:44
S0000174,O000158,2025-09-04T15:15:29
S0000175,O000159,2025-11-23T23:03:16
S0000176,O000160,2025-07-31T10:56:03
S0000177,O000161,2025-04-14T10:30:14
S0000178,O000161,2025-05-29T10:30:14
S0000179,O000161,2025-05-28T10:30:14
S0000180,O000162,2026-03-23T07:41:43
